,Ratings,Full Reviews,Short Reviews
0,5,"Awesome Watch , More better than I ve expected, I m loving it 😀 it's look like my apple smartwatch , it's Amazing Experience flippant, its an outstanding product 😀 👌 with a low price , I think in this price range this is the best nd usefull thing flipkart ,Too good 👍 And too many Applications and things in this watch ⌚ just 👏 👏 👏 👏","['5', 'Excellent']"
1,5,"It's charging time Is not good If you will use continually it I only work for 20 mins and all other features in this watch I really like it and I will suggest you to buy this watch
Thank you","['5', 'Awesome']"
2,5,Extremely value for money,"['5', 'Terrific']"
3,5,Nice product,"['5', 'Best in the market!']"
4,3,Super,"['3', 'Fair']"
5,3,Nice,"['3', 'Nice']"
6,1,"good no problem but conneting
ar notification problems","['1', 'Did not meet expectations']"
7,3,Good,"['3', 'Just okay']"
8,3,Nice .prodact,"['3', 'Decent product']"
9,1,", there is no charger I need help and notification not available if I connect the phone it take too much time and if I connect the phone call notification not available when I am talking to the person in phone the phone sound is not working","['1', 'Not recommended at all']"
10,3,Nice m5 Smart watch.,"['3', 'Nice']"
11,5,Very good,"['5', 'Brilliant']"
12,5,Nice it is good to take,"['5', 'Terrific purchase']"
13,4,Awesome product but no features and no screen from DD traveling vlog,"['4', 'Value-for-money']"
14,5,Works Nicely I pepper Everyone to by it,"['5', 'Wonderful']"
15,5,Nice product,"['5', 'Terrific']"
16,1,Bad item,"['1', 'Worthless']"
17,3,Good,"['3', 'Does the job']"
18,5,Good product 👍,"['5', 'Awesome']"
19,2,Useless product,"['2', 'Expected a better product']"
20,5,Loved it so good,"['5', 'Excellent']"
21,4,Super,"['4', 'Good choice']"
22,2,I don't like this,"['2', 'Moderate']"
23,1,Product Quality is very poor. Battery back up is very less. Display is like a kid watch. Do not buy this product. Do not loose your hard earn money. As compare to sold price the quality is very poor. There is no return policy for this product. Please do not buy this product.,"['1', 'Did not meet expectations']"
24,3,Not bad watch,"['3', 'Just okay']"
25,3,Average peoduct,"['3', 'Fair']"
26,1,Battery is not good,"['1', 'Absolute rubbish!']"
27,5,Awesome but battery life is not good,"['5', 'Just wow!']"
28,5,Good,"['5', 'Worth every penny']"
29,5,Excellent product loved it,"['5', 'Great product']"
30,5,"Very good watch, good battery backup, good display .","['5', 'Awesome']"
31,5,AMAZING WATCH....,"['5', 'Terrific']"
32,1,Battrey is very big problem,"['1', 'Worst experience ever!']"
33,5,Nice looking,"['5', 'Mind-blowing purchase']"
34,1,"Very worst product. don't purchase this watch. Waste of your money and time.
Not accept return on this product","['1', 'Utterly Disappointed']"
35,5,"Best watch and it's display is very good, charging is also perfect, ita time 2 hour only and running time 5 to 6 hours and best performance in everything","['5', 'Must buy!']"
36,5,Faster delivery fantastic,"['5', 'Brilliant']"
37,5,nice product but Bluetooth connecting is poor,"['5', 'Mind-blowing purchase']"
38,5,"Value for money,the design look like apple watch","['5', 'Must buy!']"
39,1,Verry bad itam,"['1', 'Not recommended at all']"
40,2,Not working at any time,"['2', 'Expected a better product']"
41,1,Watch quality very bad not any buyer buy this watch,"['1', 'Not recommended at all']"
42,1,Very bad in 1 hour battery low,"['1', 'Useless product']"
43,1,Waste of money plzz guys don't purchase quality is cheap and wastless,"['1', 'Terrible product']"
44,4,Good,"['4', 'Wonderful']"
45,2,not like,"['2', 'Could be way better']"
46,1,It's battery is not good,"['1', 'Hated it!']"
47,2,Step are not counting correct,"['2', 'Expected a better product']"
48,3,Super,"['3', 'Does the job']"
49,4,good,"['4', 'Worth the money']"
50,5,good product 👍🏻,"['5', 'Awesome']"
51,4,It is very nice product thanks flipkart .go for it,"['4', 'Good choice']"
52,1,Very bad product not how fungtion,"['1', 'Hated it!']"
53,5,Nice loking,"['5', 'Terrific']"
54,5,Nice watch,"['5', 'Must buy!']"
55,5,nice,"['5', 'Great product']"
56,5,It's best product for poor people. . Nice it's function is nice,"['5', 'Awesome']"
57,1,Not ok,"['1', 'Horrible']"
58,3,So quite it's lo price,"['3', 'Just okay']"
59,5,Touch screen not available but easy and good for use,"['5', 'Terrific']"
60,1,The product battery life is not more than 1 days as written in product specification.,"['1', 'Product is not as expected. Horrible product.']"
61,5,Good,"['5', 'Wonderful']"
62,3,But batter backup is very low,"['3', 'Decent product']"
63,5,Good Quality and all functions working fine.,"['5', 'Worth every penny']"
64,3,Its not a smart watch 🙂 it is a smart watch model🙃,"['3', 'Does the job']"
65,3,Not good battery back up not good,"['3', 'Fair']"
66,5,Nice watch,"['5', 'Mind-blowing purchase']"
67,4,Nice,"['4', 'Value-for-money']"
68,3,Normal use not like smart watch please dont buy,"['3', 'Decent product']"
69,3,Battery is OK.. But step counter not working properly..average..product is not comfatable...😞✌,"['3', 'Just okay']"
70,5,Nice,"['5', 'Perfect product!']"
71,5,Watch is very good but its band quality is better,"['5', 'Mind-blowing purchase']"
72,4,Nice,"['4', 'Good choice']"
73,5,Watch is very nice for Regular use at very reasonable price Thanks for flipkart.,"['5', 'Classy product']"
74,5,Product was very good and quality is also good Battery backup is also good,"['5', 'Excellent']"
75,5,Thx for filpkart,"['5', 'Awesome']"
76,5,Best,"['5', 'Just wow!']"
